"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"ACADEMIA ANTONIA ALONSO","Delaware","ACADEMIA ANTONIA ALONSO","100005300359","ACADEMIA ANTONIA ALONSO","1000053","KENT COUNTY","10001","10","401 FEDERAL ST","DOVER","DE ","19901","","401 FEDERAL STREET- SUITE 2","DOVER","DE ","19901","","3027354000","1-Regular school","39.158000","-75.521900","4045","9605","1000","†","†","†"
"ACADEMY OF DOVER CHARTER SCHOOL","Delaware","ACADEMY OF DOVER CHARTER SCHOOL","100001700144","ACADEMY OF DOVER CHARTER SCHOOL","1000017","KENT COUNTY","10001","10","104 SAULSBURY RD","DOVER","DE ","19904","","104 SAULSBURY ROAD","DOVER","DE ","19904","","3026740684","1-Regular school","39.161800","-75.544400","584","85","1000","Kindergarten","6th Grade","308"
"APPOQUINIMINK HIGH SCHOOL","Delaware","APPOQUINIMINK HIGH SCHOOL","100008000225","APPOQUINIMINK SCHOOL DISTRICT","1000080","NEW CASTLE COUNTY","10003","10","1080 BUNKER HILL RD","MIDDLETOWN","DE ","19709","","1080 BUNKER HILL ROAD","MIDDLETOWN","DE ","19709","","3024493840","1-Regular school","39.454200","-75.747500","24","29","1000","9th Grade","12th Grade","1539"
"BALTZ (AUSTIN D.) ELEMENTARY SCHOOL","Delaware","BALTZ (AUSTIN D.) ELEMENTARY SCHOOL","100130000264","RED CLAY CONSOLIDATED SCHOOL DISTRICT","1001300","NEW CASTLE COUNTY","10003","10","1500 SPRUCE AVE","WILMINGTON","DE ","19805","2195","1500 SPRUCE AVENUE","WILMINGTON","DE ","19805","2195","3029925560","1-Regular school","39.743600","-75.599700","252","32","1000","Prekindergarten","5th Grade","628"
"BANCROFT ELEMENTARY SCHOOL","Delaware","BANCROFT ELEMENTARY SCHOOL","100020000233","CHRISTINA SCHOOL DISTRICT","1000200","NEW CASTLE COUNTY","10003","10","700 NORTH LOMBARD ST","WILMINGTON","DE ","19801","4299","700 NORTH LOMBARD STREET","WILMINGTON","DE ","19801","4299","3024294102","1-Regular school","39.740000","-75.544300","350","33","1000","Prekindergarten","5th Grade","415"
"BANNEKER (BENJAMIN) ELEMENTARY SCHOOL","Delaware","BANNEKER (BENJAMIN) ELEMENTARY SCHOOL","100108000107","MILFORD SCHOOL DISTRICT","1001080","KENT COUNTY","10001","10","449 NORTH ST","MILFORD","DE ","19963","1199","449 NORTH STREET","MILFORD","DE ","19963","1199","3024221630","1-Regular school","38.920700","-75.431400","668","18","1000","1st Grade","5th Grade","525"
"BAYARD MIDDLE SCHOOL","Delaware","BAYARD MIDDLE SCHOOL","100020000232","CHRISTINA SCHOOL DISTRICT","1000200","NEW CASTLE COUNTY","10003","10","200 SOUTH DUPONT ST","WILMINGTON","DE ","19805","3975","200 SOUTH DUPONT STREET","WILMINGTON","DE ","19805","3975","3024294118","1-Regular school","39.743500","-75.571600","352","33","1000","6th Grade","8th Grade","463"
"BEACON MIDDLE SCHOOL","Delaware","BEACON MIDDLE SCHOOL","100017000037","CAPE HENLOPEN SCHOOL DISTRICT","1000170","SUSSEX COUNTY","10005","10","19483 JOHN J. WILLIAMS HWY","LEWES","DE ","19958","1598","19483 JOHN J. WILLIAMS HIGHWAY","LEWES","DE ","19958","1598","3026456288","1-Regular school","38.714400","-75.148700","724","17","1000","4th Grade","8th Grade","559"
"BEDFORD (GUNNING) MIDDLE SCHOOL","Delaware","BEDFORD (GUNNING) MIDDLE SCHOOL","100023000208","COLONIAL SCHOOL DISTRICT","1000230","NEW CASTLE COUNTY","10003","10","801 COX NECK RD","NEW CASTLE","DE ","19720","5705","801 COX NECK ROAD","NEW CASTLE","DE ","19720","5705","3028326280","1-Regular school","39.564500","-75.630100","470","34","1000","6th Grade","8th Grade","984"
"BLADES ELEMENTARY SCHOOL","Delaware","BLADES ELEMENTARY SCHOOL","100153000020","SEAFORD SCHOOL DISTRICT","1001530","SUSSEX COUNTY","10005","10","900 SOUTH ARCH ST","BLADES","DE ","19973","4553","900 SOUTH ARCH STREET","BLADES","DE ","19973","4553","3026284416","1-Regular school","38.631000","-75.606300","761","23","1000","Prekindergarten","5th Grade","542"
"BOOKER T. WASHINGTON ELEMENTARY SCHOOL","Delaware","BOOKER T. WASHINGTON ELEMENTARY SCHOOL","100019000057","CAPITAL SCHOOL DISTRICT","1000190","KENT COUNTY","10001","10","901 FOREST ST","DOVER","DE ","19904","3497","901 FOREST STREET","DOVER","DE ","19904","3497","3026721900","1-Regular school","39.159800","-75.539000","636","13","1000","Kindergarten","4th Grade","305"
"BRADER (HENRY M.) ELEMENTARY SCHOOL","Delaware","BRADER (HENRY M.) ELEMENTARY SCHOOL","100020000323","CHRISTINA SCHOOL DISTRICT","1000200","NEW CASTLE COUNTY","10003","10","350 FOUR SEASONS PARKWAY","NEWARK","DE ","19702","2326","350 FOUR SEASONS PARKWAY","NEWARK","DE ","19702","2326","3024545959","1-Regular school","39.625600","-75.754200","339","33","1000","Prekindergarten","5th Grade","515"
"BRANDYWINE HIGH SCHOOL","Delaware","BRANDYWINE HIGH SCHOOL","100124000242","BRANDYWINE SCHOOL DISTRICT","1001240","NEW CASTLE COUNTY","10003","10","1400 FOULK RD","WILMINGTON","DE ","19803","2794","1400 FOULK ROAD","WILMINGTON","DE ","19803","2794","3024791600","1-Regular school","39.800400","-75.521200","190","31","1000","9th Grade","12th Grade","905"
"BRANDYWINE SPRINGS SCHOOL","Delaware","BRANDYWINE SPRINGS SCHOOL","100130000104","RED CLAY CONSOLIDATED SCHOOL DISTRICT","1001300","NEW CASTLE COUNTY","10003","10","2916 DUNCAN RD","WILMINGTON","DE ","19808","","2916 DUNCAN ROAD","WILMINGTON","DE ","19808","","3026365681","1-Regular school","39.744700","-75.656800","261","32","1000","Kindergarten","8th Grade","1117"
"BRENNEN SCHOOL (THE)","Delaware","BRENNEN SCHOOL (THE)","100020000305","CHRISTINA SCHOOL DISTRICT","1000200","NEW CASTLE COUNTY","10003","10","144 BRENNEN DR","NEWARK","DE ","19713","3998","144 BRENNEN DRIVE","NEWARK","DE ","19713","3998","3024542202","2-Special education school","39.673700","-75.710100","538","33","1000","Prekindergarten","12th Grade","395"
"BRICK MILL ELEMENTARY SCHOOL","Delaware","BRICK MILL ELEMENTARY SCHOOL","100008000142","APPOQUINIMINK SCHOOL DISTRICT","1000080","NEW CASTLE COUNTY","10003","10","378 BRICK MILL RD","MIDDLETOWN","DE ","19709","","378 BRICK MILL ROAD","MIDDLETOWN","DE ","19709","","3023785288","1-Regular school","39.458900","-75.686500","21","29","1000","1st Grade","5th Grade","506"
"BROOKSIDE ELEMENTARY SCHOOL","Delaware","BROOKSIDE ELEMENTARY SCHOOL","100020000231","CHRISTINA SCHOOL DISTRICT","1000200","NEW CASTLE COUNTY","10003","10","800 MARROWS RD","NEWARK","DE ","19713","1511","800 MARROWS ROAD","NEWARK","DE ","19713","1511","3024545454","1-Regular school","39.668700","-75.726400","310","33","1000","Prekindergarten","5th Grade","327"
"BROWN (W. REILY) ELEMENTARY SCHOOL","Delaware","BROWN (W. REILY) ELEMENTARY SCHOOL","100018000048","CAESAR RODNEY SCHOOL DISTRICT","1000180","KENT COUNTY","10001","10","360 WEBBS LN","DOVER","DE ","19904","5438","360 WEBBS LANE","DOVER","DE ","19904","5438","3026972101","1-Regular school","39.131500","-75.538900","622","10","1000","1st Grade","5th Grade","421"
"BUNKER HILL ELEMENTARY SCHOOL","Delaware","BUNKER HILL ELEMENTARY SCHOOL","100008000339","APPOQUINIMINK SCHOOL DISTRICT","1000080","NEW CASTLE COUNTY","10003","10","1070 BUNKER HILL RD","MIDDLETOWN","DE ","19709","","1070 BUNKER HILL ROAD","MIDDLETOWN","DE ","19709","","3023785135","1-Regular school","39.454900","-75.744000","28","29","1000","1st Grade","5th Grade","625"
"BUSH (CHARLES W.) SCHOOL","Delaware","BUSH (CHARLES W.) SCHOOL","100124000277","BRANDYWINE SCHOOL DISTRICT","1001240","NEW CASTLE COUNTY","10003","10","2523 BERWYN RD","WILMINGTON","DE ","19810","2299","2523 BERWYN ROAD","WILMINGTON","DE ","19810","2299","3024791617","2-Special education school","39.820600","-75.526900","510","31","1000","Prekindergarten","Kindergarten","154"
"CAESAR RODNEY HIGH SCHOOL","Delaware","CAESAR RODNEY HIGH SCHOOL","100018000040","CAESAR RODNEY SCHOOL DISTRICT","1000180","KENT COUNTY","10001","10","239 OLD NORTH RD","CAMDEN","DE ","19934","1248","239 OLD NORTH ROAD","CAMDEN","DE ","19934","1248","3026972161","1-Regular school","39.118600","-75.541100","626","10","1000","9th Grade","12th Grade","2037"
"CALLOWAY (CAB) SCHOOL OF THE ARTS","Delaware","CALLOWAY (CAB) SCHOOL OF THE ARTS","100130000004","RED CLAY CONSOLIDATED SCHOOL DISTRICT","1001300","NEW CASTLE COUNTY","10003","10","100 NORTH DUPONT RD","WILMINGTON","DE ","19807","3199","100 NORTH DUPONT ROAD","WILMINGTON","DE ","19807","3199","3026512700","4-Alternative/other school","39.753700","-75.587500","286","32","1000","6th Grade","12th Grade","919"
"CAMPUS COMMUNITY SCHOOL","Delaware","CAMPUS COMMUNITY SCHOOL","100000700070","CAMPUS COMMUNITY CHARTER SCHOOL","1000007","KENT COUNTY","10001","10","350 PEAR ST","DOVER","DE ","19904","","350 PEAR STREET","DOVER","DE ","19904","","3027360403","1-Regular school","39.164600","-75.536100","573","74","1000","Kindergarten","8th Grade","411"
"CAPE HENLOPEN HIGH SCHOOL","Delaware","CAPE HENLOPEN HIGH SCHOOL","100017000029","CAPE HENLOPEN SCHOOL DISTRICT","1000170","SUSSEX COUNTY","10005","10","1250 KINGS HWY","LEWES","DE ","19958","1798","1250 KINGS HIGHWAY","LEWES","DE ","19958","1798","3026457711","1-Regular school","38.757800","-75.149400","726","17","1000","8th Grade","12th Grade","1283"
"CARRCROFT ELEMENTARY SCHOOL","Delaware","CARRCROFT ELEMENTARY SCHOOL","100124000291","BRANDYWINE SCHOOL DISTRICT","1001240","NEW CASTLE COUNTY","10003","10","503 CREST RD","WILMINGTON","DE ","19803","4321","503 CREST ROAD","WILMINGTON","DE ","19803","4321","3027627165","1-Regular school","39.788700","-75.501300","112","31","1000","Kindergarten","5th Grade","501"
"CARVER (G.W.) EDUCATIONAL CENTER","Delaware","CARVER (G.W.) EDUCATIONAL CENTER","100068000065","INDIAN RIVER SCHOOL DISTRICT","1000680","SUSSEX COUNTY","10005","10","30207 FRANKFORD SCHOOL RD","FRANKFORD","DE ","19945","","30207 FRANKFORD SCHOOL ROAD","FRANKFORD","DE ","19945","","3027323800","4-Alternative/other school","38.520200","-75.223300","689","36","1000","2nd Grade","12th Grade","50"
"CASTLE HILLS ELEMENTARY SCHOOL","Delaware","CASTLE HILLS ELEMENTARY SCHOOL","100023000204","COLONIAL SCHOOL DISTRICT","1000230","NEW CASTLE COUNTY","10003","10","502 MOORES LN","NEW CASTLE","DE ","19720","3499","502 MOORES LANE","NEW CASTLE","DE ","19720","3499","3023232915","1-Regular school","39.680800","-75.567900","412","34","1000","Prekindergarten","5th Grade","659"
"CEDAR LANE EARLY CHILDHOOD CENTER","Delaware","CEDAR LANE EARLY CHILDHOOD CENTER","100008000178","APPOQUINIMINK SCHOOL DISTRICT","1000080","NEW CASTLE COUNTY","10003","10","1221 CEDAR LN RD","MIDDLETOWN","DE ","19709","","1221 CEDAR LANE ROAD","MIDDLETOWN","DE ","19709","","3024495873","1-Regular school","39.503200","-75.687400","22","29","1000","Prekindergarten","Kindergarten","247"
"CEDAR LANE ELEMENTARY SCHOOL","Delaware","CEDAR LANE ELEMENTARY SCHOOL","100008000332","APPOQUINIMINK SCHOOL DISTRICT","1000080","NEW CASTLE COUNTY","10003","10","1259 CEDAR LN RD","MIDDLETOWN","DE ","19709","9636","1259 CEDAR LANE ROAD","MIDDLETOWN","DE ","19709","9636","3023785045","1-Regular school","39.501500","-75.687500","11","29","1000","1st Grade","5th Grade","627"
"CENTRAL MIDDLE SCHOOL","Delaware","CENTRAL MIDDLE SCHOOL","100019000049","CAPITAL SCHOOL DISTRICT","1000190","KENT COUNTY","10001","10","211 DELAWARE AVE","DOVER","DE ","19901","3895","211 DELAWARE AVENUE","DOVER","DE ","19901","3895","3026721772","1-Regular school","39.164600","-75.523000","644","13","1000","7th Grade","8th Grade","919"
"CENTRAL SCHOOL (THE)","Delaware","CENTRAL SCHOOL (THE)","100130000324","RED CLAY CONSOLIDATED SCHOOL DISTRICT","1001300","NEW CASTLE COUNTY","10003","10","1621 TELEGRAPH RD","WILMINGTON","DE ","19804","4198","1621 TELEGRAPH ROAD","WILMINGTON","DE ","19804","4198","3029925550","4-Alternative/other school","39.712100","-75.652200","527","32","1000","6th Grade","12th Grade","159"
"CHARLTON (JOHN S.) SCHOOL","Delaware","CHARLTON (JOHN S.) SCHOOL","100018000043","CAESAR RODNEY SCHOOL DISTRICT","1000180","KENT COUNTY","10001","10","278 SORGHUM MILL RD","CAMDEN-WYOMING","DE ","19901","","278 SORGHUM MILL ROAD","CAMDEN-WYOMING","DE ","19901","","3026973103","2-Special education school","39.102100","-75.510600","630","10","1000","Prekindergarten","12th Grade","226"
"CHARTER SCHOOL OF WILMINGTON","Delaware","CHARTER SCHOOL OF WILMINGTON","100000400012","CHARTER SCHOOL OF WILMINGTON","1000004","NEW CASTLE COUNTY","10003","10","100 NORTH DUPONT RD","WILMINGTON","DE ","19807","3199","100 NORTH DUPONT ROAD","WILMINGTON","DE ","19807","3199","3026512727","1-Regular school","39.753600","-75.587200","295","70","1000","9th Grade","12th Grade","970"
"CHIPMAN (W.T.) MIDDLE SCHOOL","Delaware","CHIPMAN (W.T.) MIDDLE SCHOOL","100079000098","LAKE FOREST SCHOOL DISTRICT","1000790","KENT COUNTY","10001","10","101 WEST CENTER ST","HARRINGTON","DE ","19952","1098","101 WEST CENTER STREET","HARRINGTON","DE ","19952","1098","3023988197","1-Regular school","38.928800","-75.582400","664","15","1000","6th Grade","8th Grade","977"
"CHRISTIANA HIGH SCHOOL","Delaware","CHRISTIANA HIGH SCHOOL","100020000240","CHRISTINA SCHOOL DISTRICT","1000200","NEW CASTLE COUNTY","10003","10","190 SALEM CHURCH RD","NEWARK","DE ","19713","2998","190 SALEM CHURCH ROAD","NEWARK","DE ","19713","2998","3026312400","1-Regular school","39.665300","-75.695300","390","33","1000","9th Grade","12th Grade","839"
"CHRISTINA EARLY EDUCATION CENTER","Delaware","CHRISTINA EARLY EDUCATION CENTER","100020000349","CHRISTINA SCHOOL DISTRICT","1000200","NEW CASTLE COUNTY","10003","10","620 EAST CHESTNUT HILL RD","NEWARK","DE ","19713","1814","620 EAST CHESTNUT HILL RD","NEWARK","DE ","19713","1814","3024542720","2-Special education school","39.672500","-75.708900","545","33","1000","Prekindergarten","Prekindergarten","261"
"CLAYMONT ELEMENTARY SCHOOL","Delaware","CLAYMONT ELEMENTARY SCHOOL","100124000062","BRANDYWINE SCHOOL DISTRICT","1001240","NEW CASTLE COUNTY","10003","10","3401 GREEN ST","CLAYMONT","DE ","19703","","3401 GREEN STREET","CLAYMONT","DE ","19703","","3027923880","1-Regular school","39.803800","-75.464400","151","31","1000","Kindergarten","5th Grade","817"
"CLAYTON (JOHN M.) ELEMENTARY SCHOOL","Delaware","CLAYTON (JOHN M.) ELEMENTARY SCHOOL","100068000082","INDIAN RIVER SCHOOL DISTRICT","1000680","SUSSEX COUNTY","10005","10","252 CLAYTON AVE","FRANKFORD","DE ","19945","9518","252 CLAYTON AVE","FRANKFORD","DE ","19945","9518","3027323808","1-Regular school","38.536100","-75.236900","732","36","1000","Prekindergarten","5th Grade","558"
"CLAYTON ELEMENTARY SCHOOL","Delaware","CLAYTON ELEMENTARY SCHOOL","100162000302","SMYRNA SCHOOL DISTRICT","1001620","KENT COUNTY","10001","10","510 WEST MAIN ST","CLAYTON","DE ","19938","3400","510 WEST MAIN STREET","CLAYTON","DE ","19938","3400","3026538587","1-Regular school","39.288100","-75.636200","680","24","1000","Kindergarten","4th Grade","490"
"CLAYTON INTERMEDIATE SCHOOL","Delaware","CLAYTON INTERMEDIATE SCHOOL","100162000352","SMYRNA SCHOOL DISTRICT","1001620","KENT COUNTY","10001","10","86 SORRENTO DR","CLAYTON","DE ","19938","","86 SORRENTO DRIVE","CLAYTON","DE ","19938","","3026534512","1-Regular school","39.271800","-75.644700","696","24","1000","5th Grade","6th Grade","448"
"CONCORD HIGH SCHOOL","Delaware","CONCORD HIGH SCHOOL","100124000247","BRANDYWINE SCHOOL DISTRICT","1001240","NEW CASTLE COUNTY","10003","10","2501 EBRIGHT RD","WILMINGTON","DE ","19810","1198","2501 EBRIGHT ROAD","WILMINGTON","DE ","19810","1198","3024753951","1-Regular school","39.830400","-75.524800","194","31","1000","9th Grade","12th Grade","1099"
"CONRAD SCHOOLS OF SCIENCE","Delaware","CONRAD SCHOOLS OF SCIENCE","100130000270","RED CLAY CONSOLIDATED SCHOOL DISTRICT","1001300","NEW CASTLE COUNTY","10003","10","201 JACKSON AVE","WILMINGTON","DE ","19804","2199","201 JACKSON AVENUE","WILMINGTON","DE ","19804","2199","3029925545","1-Regular school","39.722700","-75.601300","284","32","1000","6th Grade","12th Grade","1153"
"DELAWARE ACADEMY OF PUBLIC SAFETY AND SECURITY","Delaware","DELAWARE ACADEMY OF PUBLIC SAFETY AND SECURITY","100004900341","DELAWARE ACADEMY OF PUBLIC SAFETY AND SECURITY","1000049","NEW CASTLE COUNTY","10003","10","801 NORTH DUPONT HWY","NEW CASTLE","DE ","19720","","801 N. DUPONT HIGHWAY","NEW CASTLE","DE ","19720","","3023226050","1-Regular school","39.686700","-75.586200","567","68","1000","9th Grade","12th Grade","330"
"DELAWARE COLLEGE PREPARATORY ACADEMY","Delaware","DELAWARE COLLEGE PREPARATORY ACADEMY","100004700336","DELAWARE COLLEGE PREPARATORY ACADEMY","1000047","NEW CASTLE COUNTY","10003","10","510 WEST 28TH ST","WILMINGTON","DE ","19802","","510 WEST 28TH STREET","WILMINGTON","DE ","19802","","3027627424","1-Regular school","39.759900","-75.537500","565","66","1000","Kindergarten","4th Grade","204"
"DELAWARE DESIGN-LAB HIGH SCHOOL","Delaware","DELAWARE DESIGN-LAB HIGH SCHOOL","100005600369","DELAWARE DESIGN-LAB HIGH SCHOOL","1000056","KENT COUNTY","10001","10","401 FEDERAL ST","DOVER","DE ","19901","","401 FEDERAL STREET- SUITE 2","DOVER","DE ","19901","","3027354000","1-Regular school","39.158000","-75.521900","4065","9609","1000","†","†","†"
"DELAWARE MILITARY ACADEMY","Delaware","DELAWARE MILITARY ACADEMY","100001600143","DELAWARE MILITARY ACADEMY","1000016","NEW CASTLE COUNTY","10003","10","112 MIDDLEBORO RD","WILMINGTON","DE ","19804","","112 MIDDLEBORO ROAD","WILMINGTON","DE ","19804","","3029980745","1-Regular school","39.721600","-75.585100","578","79","1000","9th Grade","12th Grade","568"
"DELAWARE SCHOOL FOR THE DEAF SECONDARY","Delaware","DELAWARE SCHOOL FOR THE DEAF SECONDARY","100020000210","CHRISTINA SCHOOL DISTRICT","1000200","NEW CASTLE COUNTY","10003","10","630 EAST CHESTNUT HILL RD","NEWARK","DE ","19713","1814","630 EAST CHESTNUT HILL ROAD","NEWARK","DE ","19713","1814","3024542301","2-Special education school","39.672500","-75.709000","540","33","1000","Prekindergarten","12th Grade","115"
"DELCASTLE TECHNICAL HIGH SCHOOL","Delaware","DELCASTLE TECHNICAL HIGH SCHOOL","100128000154","NEW CASTLE COUNTY VOCATIONAL-TECHNICAL SCHOOL DISTRICT","1001280","NEW CASTLE COUNTY","10003","10","1417 NEWPORT RD","WILMINGTON","DE ","19804","3499","1417 NEWPORT ROAD","WILMINGTON","DE ","19804","3499","3029958100","3-Vocational school","39.726000","-75.626600","80","38","1000","8th Grade","12th Grade","1519"
"DELMAR HIGH SCHOOL","Delaware","DELMAR HIGH SCHOOL","100027000080","DELMAR SCHOOL DISTRICT","1000270","SUSSEX COUNTY","10005","10","200 NORTH EIGHTH ST","DELMAR","DE ","19940","1399","200 NORTH EIGHTH STREET","DELMAR","DE ","19940","1399","3028469544","1-Regular school","38.459000","-75.566700","730","37","1000","9th Grade","12th Grade","624"
"DELMAR MIDDLE SCHOOL","Delaware","DELMAR MIDDLE SCHOOL","100027000078","DELMAR SCHOOL DISTRICT","1000270","SUSSEX COUNTY","10005","10","200 NORTH EIGHTH ST","DELMAR","DE ","19940","1399","200 NORTH EIGHTH STREET","DELMAR","DE ","19940","1399","3028469544","1-Regular school","38.459000","-75.566700","733","37","1000","5th Grade","8th Grade","705"
"DICKINSON (JOHN) HIGH SCHOOL","Delaware","DICKINSON (JOHN) HIGH SCHOOL","100130000275","RED CLAY CONSOLIDATED SCHOOL DISTRICT","1001300","NEW CASTLE COUNTY","10003","10","1801 MILLTOWN RD","WILMINGTON","DE ","19808","4099","1801 MILLTOWN ROAD","WILMINGTON","DE ","19808","4099","3029925500","1-Regular school","39.728400","-75.673700","290","32","1000","9th Grade","12th Grade","765"
"DOUGLASS SCHOOL","Delaware","DOUGLASS SCHOOL","100020000010","CHRISTINA SCHOOL DISTRICT","1000200","NEW CASTLE COUNTY","10003","10","1800 PROSPECT RD","WILMINGTON","DE ","19805","4120","1800 PROSPECT ROAD","WILMINGTON","DE ","19805","4120","3024294146","1-Regular school","39.738300","-75.580500","537","33","1000","Kindergarten","12th Grade","48"
"DOVER AIR FORCE BASE MIDDLE SCHOOL","Delaware","DOVER AIR FORCE BASE MIDDLE SCHOOL","100018000041","CAESAR RODNEY SCHOOL DISTRICT","1000180","KENT COUNTY","10001","10","3100 HAWTHORNE DR","DOVER","DE ","19901","5391","3100 HAWTHORNE DRIVE","DOVER","DE ","19901","5391","3026743284","1-Regular school","39.117900","-75.487900","628","10","1000","6th Grade","8th Grade","201"
"DOVER HIGH SCHOOL","Delaware","DOVER HIGH SCHOOL","100019000050","CAPITAL SCHOOL DISTRICT","1000190","KENT COUNTY","10001","10","ONE PAT LYNN DR","DOVER","DE ","19904","2899","ONE PAT LYNN DRIVE","DOVER","DE ","19904","2899","3026721525","1-Regular school","39.176300","-75.539700","648","13","1000","9th Grade","12th Grade","1696"
